family,method,rna_types
RF00191,rna-type,snoRNA
RF00192,fallbacks,
RF00193,fallbacks,
RF00194,fallbacks,
RF00195,so-term,other
RF00196,fallbacks,
RF00198,fallbacks,
RF00199,fallbacks,
RF00200,rna-type,snoRNA
RF00201,rna-type,snoRNA
RF00202,rna-type,snoRNA
RF00203,rna-type,snoRNA
RF00204,rna-type,snoRNA
RF00205,rna-type,snoRNA
RF00206,rna-type,snoRNA
RF00207,fallbacks,
RF00208,rna-type,snoRNA
RF00209,fallbacks,
RF00210,fallbacks,
RF00211,rna-type,snoRNA
RF00212,rna-type,snoRNA
RF00213,rna-type,snoRNA
RF00214,fallbacks,
RF00215,fallbacks,
RF00216,fallbacks,
RF00217,rna-type,snoRNA
RF00218,rna-type,snoRNA
RF00220,fallbacks,
RF00221,rna-type,snoRNA
RF00222,fallbacks,
RF00223,fallbacks,
RF00224,fallbacks,
RF00225,fallbacks,
RF00226,fallbacks,
RF00227,fallbacks,
RF00228,fallbacks,
RF00229,fallbacks,
RF00230,fallbacks,
RF00231,so-term,snoRNA
RF00232,fallbacks,
RF00233,fallbacks,
RF00234,fallbacks,
RF00235,fallbacks,
RF00236,so-term,antisense_RNA
RF00237,so-term,precursor_RNA
RF00238,so-term,antisense_RNA
RF00239,so-term,precursor_RNA
RF00240,so-term,antisense_RNA
RF00241,so-term,precursor_RNA
RF00242,so-term,antisense_RNA
RF00243,fallbacks,
RF00244,so-term,precursor_RNA
RF00245,so-term,precursor_RNA
RF00246,so-term,precursor_RNA
RF00247,so-term,precursor_RNA
RF00248,so-term,precursor_RNA
RF00249,so-term,precursor_RNA
RF00250,so-term,precursor_RNA
RF00251,so-term,precursor_RNA
RF00252,fallbacks,
RF00253,so-term,precursor_RNA
RF00254,so-term,precursor_RNA
RF00255,so-term,precursor_RNA
RF00256,so-term,precursor_RNA
RF00257,so-term,precursor_RNA
RF00258,so-term,precursor_RNA
RF00259,fallbacks,
RF00260,fallbacks,
RF00261,fallbacks,
RF00262,so-term,antisense_RNA
RF00263,rna-type,snoRNA
RF00264,rna-type,snoRNA
RF00265,rna-type,snoRNA
RF00266,rna-type,snoRNA
RF00267,rna-type,snoRNA
RF00268,rna-type,snoRNA
RF00270,rna-type,snoRNA
RF00271,rna-type,snoRNA
RF00272,rna-type,snoRNA
RF00273,rna-type,snoRNA
RF00274,rna-type,snoRNA
RF00275,rna-type,snoRNA
RF00276,rna-type,snoRNA
RF00277,rna-type,snoRNA
RF00278,rna-type,snoRNA
RF00279,rna-type,snoRNA
RF00280,rna-type,snoRNA
RF00281,rna-type,snoRNA
RF00282,rna-type,snoRNA
RF00283,so-term,snoRNA
RF00284,rna-type,snoRNA
RF00285,rna-type,snoRNA
RF00286,so-term,snoRNA
RF00287,rna-type,snoRNA
RF00288,rna-type,snoRNA
RF00289,rna-type,snoRNA
RF00290,fallbacks,
RF00291,rna-type,snoRNA
RF00292,rna-type,snoRNA
RF00293,rna-type,snoRNA
RF00294,rna-type,snoRNA
RF00295,rna-type,snoRNA
RF00296,rna-type,snoRNA
RF00300,rna-type,snoRNA
RF00301,rna-type,snoRNA
RF00302,rna-type,snoRNA
RF00303,rna-type,snoRNA
RF00304,rna-type,snoRNA
RF00305,rna-type,snoRNA
RF00306,rna-type,snoRNA
RF00307,rna-type,snoRNA
RF00309,rna-type,snoRNA
RF00310,rna-type,snoRNA
RF00311,rna-type,snoRNA
RF00312,rna-type,snoRNA
RF00313,rna-type,snoRNA
RF00314,rna-type,snoRNA
RF00315,rna-type,snoRNA
RF00316,rna-type,snoRNA
RF00317,rna-type,snoRNA
RF00318,rna-type,snoRNA
RF00319,rna-type,snoRNA
RF00320,rna-type,snoRNA
RF00321,rna-type,snoRNA
RF00322,rna-type,snoRNA
RF00323,rna-type,snoRNA
RF00324,rna-type,snoRNA
RF00325,rna-type,snoRNA
RF00326,rna-type,snoRNA
RF00327,rna-type,snoRNA
RF00328,rna-type,snoRNA
RF00329,rna-type,snoRNA
RF00330,rna-type,snoRNA
RF00331,rna-type,snoRNA
RF00332,rna-type,snoRNA
RF00333,rna-type,snoRNA
RF00334,rna-type,snoRNA
RF00335,rna-type,snoRNA
RF00336,rna-type,snoRNA
RF00337,rna-type,snoRNA
RF00338,rna-type,snoRNA
RF00339,rna-type,snoRNA
RF00340,rna-type,snoRNA
RF00341,rna-type,snoRNA
RF00342,rna-type,snoRNA
RF00343,rna-type,snoRNA
RF00344,rna-type,snoRNA
RF00345,rna-type,snoRNA
RF00348,rna-type,snoRNA
RF00349,rna-type,snoRNA
RF00350,rna-type,snoRNA
RF00351,rna-type,snoRNA
RF00352,rna-type,snoRNA
RF00353,rna-type,snoRNA
RF00355,rna-type,snoRNA
RF00356,rna-type,snoRNA
RF00357,rna-type,snoRNA
RF00358,rna-type,snoRNA
RF00359,rna-type,snoRNA
RF00360,rna-type,snoRNA
RF00361,rna-type,snoRNA
RF00362,fallbacks,
RF00363,so-term,precursor_RNA
RF00364,so-term,precursor_RNA
RF00365,so-term,precursor_RNA
RF00366,so-term,precursor_RNA
RF00367,so-term,precursor_RNA
RF00368,so-term,other
RF00369,so-term,other
RF00370,so-term,other
RF00371,so-term,other
RF00372,so-term,other
RF00373,so-term,RNase_P_RNA
RF00374,fallbacks,
RF00375,fallbacks,
RF00376,fallbacks,
RF00377,rna-type,snoRNA
RF00378,so-term,other
RF00379,fallbacks,
RF00380,fallbacks,
RF00381,fallbacks,
RF00382,fallbacks,
RF00383,fallbacks,
RF00384,fallbacks,
RF00385,fallbacks,
RF00386,fallbacks,
RF00387,fallbacks,
RF00388,so-term,antisense_RNA
RF00389,fallbacks,
RF00390,fallbacks,
RF00391,so-term,other
RF00392,rna-type,snoRNA
RF00393,rna-type,snoRNA
RF00394,rna-type,snoRNA
RF00396,rna-type,snoRNA
RF00397,rna-type,snoRNA
RF00398,rna-type,snoRNA
RF00399,rna-type,snoRNA
RF00400,rna-type,snoRNA
RF00401,rna-type,snoRNA
RF00402,rna-type,snoRNA
RF00403,rna-type,snoRNA
RF00404,rna-type,snoRNA
RF00405,rna-type,snoRNA
RF00406,rna-type,snoRNA
RF00407,rna-type,snoRNA
RF00408,rna-type,snoRNA
RF00409,rna-type,snoRNA
RF00410,rna-type,snoRNA
RF00411,rna-type,snoRNA
RF00412,rna-type,snoRNA
RF00413,rna-type,snoRNA
RF00414,rna-type,snoRNA
RF00415,rna-type,snoRNA
RF00416,rna-type,snoRNA
RF00417,rna-type,snoRNA
RF00418,rna-type,snoRNA
RF00419,rna-type,snoRNA
RF00420,rna-type,snoRNA
RF00421,rna-type,snoRNA
RF00422,so-term,snoRNA
RF00423,so-term,snoRNA
RF00424,so-term,snoRNA
RF00425,rna-type,snoRNA
RF00426,so-term,snoRNA
RF00427,so-term,snoRNA
RF00428,rna-type,snoRNA
RF00429,rna-type,snoRNA
RF00430,rna-type,snoRNA
RF00431,rna-type,snoRNA
RF00432,rna-type,snoRNA
RF00433,fallbacks,
RF00434,fallbacks,
RF00435,fallbacks,
RF00436,fallbacks,
RF00437,fallbacks,
RF00438,rna-type,snoRNA
RF00439,rna-type,snoRNA
RF00440,rna-type,snoRNA
RF00441,rna-type,snoRNA
RF00442,fallbacks,
RF00443,rna-type,snoRNA
RF00444,so-term,other
RF00445,so-term,precursor_RNA
RF00446,so-term,precursor_RNA
RF00447,fallbacks,
RF00448,fallbacks,
RF00449,fallbacks,
RF00451,so-term,precursor_RNA
RF00452,so-term,precursor_RNA
RF00453,fallbacks,
RF00454,fallbacks,
RF00455,so-term,precursor_RNA
RF00456,so-term,precursor_RNA
RF00457,fallbacks,
RF00458,fallbacks,
RF00459,fallbacks,
RF00460,fallbacks,
RF00461,fallbacks,
RF00462,fallbacks,
RF00463,fallbacks,
RF00464,so-term,precursor_RNA
RF00465,fallbacks,
RF00467,fallbacks,
RF00468,fallbacks,
RF00469,fallbacks,
RF00470,fallbacks,
RF00471,rna-type,snoRNA
RF00472,rna-type,snoRNA
RF00473,rna-type,snoRNA
RF00474,rna-type,snoRNA
RF00475,rna-type,snoRNA
RF00476,rna-type,snoRNA
RF00477,rna-type,snoRNA
RF00478,so-term,snoRNA
RF00479,rna-type,snoRNA
RF00480,fallbacks,
RF00481,fallbacks,
RF00482,rna-type,snoRNA
RF00483,fallbacks,
RF00484,fallbacks,
RF00485,fallbacks,
RF00486,so-term,precursor_RNA
RF00487,fallbacks,
RF00488,so-search,snRNA
RF00489,so-term,antisense_RNA
RF00490,fallbacks,
RF00492,so-term,snoRNA
RF00493,rna-type,snoRNA
RF00494,rna-type,snoRNA
RF00495,fallbacks,
RF00496,fallbacks,
RF00498,fallbacks,
RF00499,fallbacks,
RF00500,fallbacks,
RF00501,fallbacks,
RF00502,fallbacks,
RF00503,fallbacks,
RF00504,fallbacks,
RF00505,so-term,other
RF00506,fallbacks,
RF00507,fallbacks,
RF00509,rna-type,snoRNA
RF00510,fallbacks,
RF00511,fallbacks,
RF00512,fallbacks,
RF00513,fallbacks,
RF00514,fallbacks,
RF00515,fallbacks,
RF00516,fallbacks,
RF00517,fallbacks,
RF00518,fallbacks,
RF00519,so-term,other
RF00520,fallbacks,
RF00521,fallbacks,
RF00522,fallbacks,
RF00523,fallbacks,
RF00524,fallbacks,
RF00525,fallbacks,
RF00526,rna-type,snoRNA
RF00527,rna-type,snoRNA
RF00528,rna-type,snoRNA
RF00529,rna-type,snoRNA
RF00530,rna-type,snoRNA
RF00531,rna-type,snoRNA
RF00532,rna-type,snoRNA
RF00533,rna-type,snoRNA
RF00534,so-term,other
RF00535,rna-type,snoRNA
RF00536,rna-type,snoRNA
RF00537,rna-type,snoRNA
RF00538,rna-type,snoRNA
RF00539,rna-type,snoRNA
RF00540,rna-type,snoRNA
RF00541,rna-type,snoRNA
RF00542,rna-type,snoRNA
RF00543,rna-type,snoRNA
RF00544,rna-type,snoRNA
RF00545,rna-type,snoRNA
RF00546,rna-type,snoRNA
RF00547,fallbacks,
RF00548,so-search,snRNA
RF00549,fallbacks,
RF00550,fallbacks,
RF00551,fallbacks,
RF00552,fallbacks,
RF00553,so-term,snoRNA
RF00554,rna-type,snoRNA
RF00555,fallbacks,
RF00556,fallbacks,
RF00557,fallbacks,
RF00558,fallbacks,
RF00559,fallbacks,
RF00560,rna-type,snoRNA
RF00561,rna-type,snoRNA
RF00562,rna-type,snoRNA
RF00563,rna-type,snoRNA
RF00564,so-term,snoRNA
RF00565,so-term,snoRNA
RF00566,rna-type,snoRNA
RF00567,rna-type,snoRNA
RF00568,rna-type,snoRNA
RF00569,rna-type,snoRNA
RF00570,rna-type,snoRNA
RF00571,rna-type,snoRNA
RF00572,rna-type,snoRNA
RF00573,rna-type,snoRNA
RF00574,rna-type,snoRNA
RF00575,rna-type,snoRNA
RF00576,rna-type,snoRNA
RF00577,rna-type,snoRNA
RF00578,rna-type,snoRNA
RF00579,rna-type,snoRNA
RF00580,rna-type,snoRNA
RF00581,rna-type,snoRNA
RF00582,so-term,snoRNA
RF00584,rna-type,snoRNA
RF00586,rna-type,snoRNA
RF00588,rna-type,snoRNA
RF00591,rna-type,snoRNA
RF00592,rna-type,snoRNA
RF00593,rna-type,snoRNA
RF00594,rna-type,snoRNA
RF00598,rna-type,snoRNA
RF00599,rna-type,snoRNA
RF00600,rna-type,snoRNA
RF00601,so-term,snoRNA
RF00602,so-term,snoRNA
RF00603,rna-type,snoRNA
RF00604,rna-type,snoRNA
RF00606,rna-type,snoRNA
RF00607,rna-type,snoRNA
RF00608,rna-type,snoRNA
RF00609,rna-type,snoRNA
RF00610,rna-type,snoRNA
RF00611,rna-type,snoRNA
RF00612,rna-type,snoRNA
RF00613,rna-type,snoRNA
RF00614,rna-type,snoRNA
RF00615,so-term,other
RF00616,so-term,other
RF00617,fallbacks,
RF00618,so-term,snRNA
RF00619,so-term,snRNA
RF00620,fallbacks,
RF00621,so-term,ribozyme
RF00622,so-term,ribozyme
RF00623,so-term,other
RF00624,so-term,other
RF00625,so-term,other
RF00626,fallbacks,
RF00627,so-term,other
RF00628,so-term,other
RF00629,so-term,other
RF00630,so-term,other
RF00632,fallbacks,
RF00634,fallbacks,
RF00635,so-term,lncRNA
RF00636,fallbacks,
RF00637,so-term,precursor_RNA
RF00638,so-term,precursor_RNA
RF00639,so-term,precursor_RNA
RF00640,so-term,precursor_RNA
RF00641,so-term,precursor_RNA
RF00642,so-term,precursor_RNA
RF00643,so-term,precursor_RNA
RF00644,so-term,precursor_RNA
RF00645,so-term,precursor_RNA
RF00646,so-term,precursor_RNA
RF00647,so-term,precursor_RNA
RF00648,so-term,precursor_RNA
RF00649,so-term,precursor_RNA
RF00650,so-term,precursor_RNA
RF00651,so-term,precursor_RNA
RF00652,so-term,precursor_RNA
RF00653,so-term,precursor_RNA
RF00654,so-term,precursor_RNA
RF00655,so-term,precursor_RNA
RF00656,so-term,precursor_RNA
RF00657,so-term,precursor_RNA
RF00658,so-term,precursor_RNA
RF00659,so-term,precursor_RNA
RF00660,so-term,precursor_RNA
RF00661,so-term,precursor_RNA
RF00662,so-term,precursor_RNA
RF00663,so-term,precursor_RNA
RF00664,so-term,precursor_RNA
RF00665,so-term,precursor_RNA
RF00666,so-term,precursor_RNA
RF00667,so-term,precursor_RNA
RF00668,so-term,precursor_RNA
RF00669,so-term,precursor_RNA
RF00670,so-term,precursor_RNA
RF00671,so-term,precursor_RNA
RF00672,so-term,precursor_RNA
RF00673,so-term,precursor_RNA
RF00674,so-term,precursor_RNA
RF00675,so-term,precursor_RNA
RF00676,so-term,precursor_RNA
RF00677,so-term,precursor_RNA
RF00678,so-term,precursor_RNA
RF00679,so-term,precursor_RNA
RF00680,so-term,precursor_RNA
RF00681,so-term,precursor_RNA
RF00682,so-term,precursor_RNA
RF00683,so-term,precursor_RNA
RF00684,so-term,precursor_RNA
RF00685,so-term,precursor_RNA
RF00686,so-term,precursor_RNA
RF00687,so-term,precursor_RNA
RF00688,so-term,precursor_RNA
RF00689,so-term,precursor_RNA
RF00690,so-term,precursor_RNA
RF00691,so-term,precursor_RNA
RF00692,so-term,precursor_RNA
RF00693,so-term,precursor_RNA
RF00694,so-term,precursor_RNA
RF00695,so-term,precursor_RNA
RF00696,so-term,precursor_RNA
RF00697,so-term,precursor_RNA
RF00698,so-term,precursor_RNA
RF00699,so-term,precursor_RNA
RF00700,so-term,precursor_RNA
RF00701,so-term,precursor_RNA
RF00702,so-term,precursor_RNA
RF00703,so-term,precursor_RNA
RF00704,so-term,precursor_RNA
RF00705,so-term,precursor_RNA
RF00706,so-term,precursor_RNA
RF00707,so-term,precursor_RNA
RF00708,so-term,precursor_RNA
RF00709,so-term,precursor_RNA
RF00710,so-term,precursor_RNA
RF00711,so-term,precursor_RNA
RF00712,so-term,precursor_RNA
RF00713,so-term,precursor_RNA
RF00714,so-term,precursor_RNA
RF00715,so-term,precursor_RNA
RF00716,so-term,precursor_RNA
RF00717,so-term,precursor_RNA
RF00718,so-term,precursor_RNA
RF00719,so-term,precursor_RNA
RF00720,so-term,precursor_RNA
RF00721,so-term,precursor_RNA
RF00722,so-term,precursor_RNA
RF00723,so-term,precursor_RNA
RF00724,so-term,precursor_RNA
RF00725,so-term,precursor_RNA
RF00726,so-term,precursor_RNA
RF00727,so-term,precursor_RNA
RF00728,so-term,precursor_RNA
RF00729,so-term,precursor_RNA
RF00730,so-term,precursor_RNA
RF00731,so-term,precursor_RNA
RF00732,so-term,precursor_RNA
RF00733,so-term,precursor_RNA
RF00734,so-term,precursor_RNA
RF00735,so-term,precursor_RNA
RF00736,so-term,precursor_RNA
RF00737,so-term,precursor_RNA
RF00739,so-term,precursor_RNA
RF00740,so-term,precursor_RNA
RF00741,so-term,precursor_RNA
RF00742,so-term,precursor_RNA
RF00743,so-term,precursor_RNA
RF00744,so-term,precursor_RNA
RF00745,so-term,precursor_RNA
RF00746,so-term,precursor_RNA
RF00747,so-term,precursor_RNA
RF00748,so-term,precursor_RNA
RF00749,so-term,precursor_RNA
RF00750,so-term,precursor_RNA
RF00751,so-term,precursor_RNA
RF00752,so-term,precursor_RNA
RF00753,so-term,precursor_RNA
RF00754,so-term,precursor_RNA
RF00755,so-term,precursor_RNA
RF00756,so-term,precursor_RNA
RF00757,so-term,precursor_RNA
RF00758,so-term,precursor_RNA
RF00760,so-term,precursor_RNA
RF00761,so-term,precursor_RNA
RF00762,so-term,precursor_RNA
RF00763,so-term,precursor_RNA
RF00764,so-term,precursor_RNA
RF00765,so-term,precursor_RNA
RF00766,so-term,precursor_RNA
RF00767,so-term,precursor_RNA
RF00768,so-term,precursor_RNA
RF00769,so-term,precursor_RNA
RF00770,so-term,precursor_RNA
RF00771,so-term,precursor_RNA
RF00772,so-term,precursor_RNA
RF00773,so-term,precursor_RNA
RF00774,so-term,precursor_RNA
RF00775,so-term,precursor_RNA
RF00776,so-term,precursor_RNA
RF00777,so-term,precursor_RNA
RF00778,so-term,precursor_RNA
RF00779,so-term,precursor_RNA
RF00780,so-term,precursor_RNA
RF00781,so-term,precursor_RNA
RF00782,so-term,precursor_RNA
RF00783,so-term,precursor_RNA
RF00784,so-term,precursor_RNA
RF00785,so-term,precursor_RNA
RF00786,so-term,precursor_RNA
RF00787,so-term,precursor_RNA
RF00788,so-term,precursor_RNA
RF00789,so-term,precursor_RNA
RF00790,so-term,precursor_RNA
RF00791,so-term,precursor_RNA
RF00792,so-term,precursor_RNA
RF00793,so-term,precursor_RNA
RF00794,so-term,precursor_RNA
RF00795,so-term,precursor_RNA
RF00796,so-term,precursor_RNA
RF00797,so-term,precursor_RNA
RF00798,so-term,precursor_RNA
RF00799,so-term,precursor_RNA
RF00800,so-term,precursor_RNA
RF00801,so-term,precursor_RNA
RF00802,so-term,precursor_RNA
RF00803,so-term,precursor_RNA
RF00804,so-term,precursor_RNA
RF00805,so-term,precursor_RNA
RF00806,so-term,precursor_RNA
RF00807,so-term,precursor_RNA
RF00808,so-term,precursor_RNA
RF00809,so-term,precursor_RNA
RF00810,so-term,precursor_RNA
RF00811,so-term,precursor_RNA
RF00812,so-term,precursor_RNA
RF00813,so-term,precursor_RNA
RF00814,so-term,precursor_RNA
RF00815,so-term,precursor_RNA
RF00816,so-term,precursor_RNA
RF00817,so-term,precursor_RNA
RF00818,so-term,precursor_RNA
RF00819,so-term,precursor_RNA
RF00820,so-term,precursor_RNA
RF00821,so-term,precursor_RNA
RF00822,so-term,precursor_RNA
RF00823,so-term,precursor_RNA
RF00824,so-term,precursor_RNA
RF00825,so-term,precursor_RNA
RF00826,so-term,precursor_RNA
RF00827,so-term,precursor_RNA
RF00828,so-term,precursor_RNA
RF00829,so-term,precursor_RNA
RF00830,so-term,precursor_RNA
RF00831,so-term,precursor_RNA
RF00832,so-term,precursor_RNA
RF00833,so-term,precursor_RNA
RF00834,so-term,precursor_RNA
RF00835,so-term,precursor_RNA
RF00836,so-term,precursor_RNA
RF00837,so-term,precursor_RNA
RF00838,so-term,precursor_RNA
RF00839,so-term,precursor_RNA
RF00840,so-term,precursor_RNA
RF00841,so-term,precursor_RNA
RF00842,so-term,precursor_RNA
RF00843,so-term,precursor_RNA
RF00844,so-term,precursor_RNA
RF00845,so-term,precursor_RNA
RF00846,so-term,precursor_RNA
RF00847,so-term,precursor_RNA
RF00848,so-term,precursor_RNA
RF00849,so-term,precursor_RNA
RF00850,so-term,precursor_RNA
RF00851,so-term,precursor_RNA
RF00852,so-term,precursor_RNA
RF00853,so-term,precursor_RNA
RF00854,so-term,precursor_RNA
RF00855,so-term,precursor_RNA
RF00856,so-term,precursor_RNA
RF00857,so-term,precursor_RNA
RF00858,so-term,precursor_RNA
RF00859,so-term,precursor_RNA
RF00861,so-term,precursor_RNA
RF00862,so-term,precursor_RNA
RF00863,so-term,precursor_RNA
RF00864,so-term,precursor_RNA
RF00865,so-term,precursor_RNA
RF00866,so-term,precursor_RNA
RF00867,so-term,precursor_RNA
RF00868,so-term,precursor_RNA
RF00869,so-term,precursor_RNA
RF00870,so-term,precursor_RNA
RF00871,so-term,precursor_RNA
RF00872,so-term,precursor_RNA
RF00873,so-term,precursor_RNA
RF00874,so-term,precursor_RNA
RF00875,so-term,precursor_RNA
RF00876,so-term,precursor_RNA
RF00877,so-term,precursor_RNA
RF00878,so-term,precursor_RNA
RF00879,so-term,precursor_RNA
RF00882,so-term,precursor_RNA
RF00883,so-term,precursor_RNA
RF00884,so-term,precursor_RNA
RF00885,so-term,precursor_RNA
RF00886,so-term,precursor_RNA
RF00887,so-term,precursor_RNA
RF00888,so-term,precursor_RNA
RF00890,so-term,precursor_RNA
RF00891,so-term,precursor_RNA
RF00892,so-term,precursor_RNA
RF00893,so-term,precursor_RNA
RF00894,so-term,precursor_RNA
RF00895,so-term,precursor_RNA
RF00896,so-term,precursor_RNA
RF00897,so-term,precursor_RNA
RF00898,so-term,precursor_RNA
RF00899,so-term,precursor_RNA
RF00900,so-term,precursor_RNA
RF00901,so-term,precursor_RNA
RF00902,so-term,precursor_RNA
RF00903,so-term,precursor_RNA
RF00904,so-term,precursor_RNA
RF00905,so-term,precursor_RNA
RF00906,so-term,precursor_RNA
RF00907,so-term,precursor_RNA
RF00908,so-term,precursor_RNA
RF00909,so-term,precursor_RNA
RF00910,so-term,precursor_RNA
RF00911,so-term,precursor_RNA
RF00912,so-term,precursor_RNA
RF00914,so-term,precursor_RNA
RF00915,so-term,precursor_RNA
RF00917,so-term,precursor_RNA
RF00918,so-term,precursor_RNA
RF00919,so-term,precursor_RNA
RF00920,so-term,precursor_RNA
RF00921,so-term,precursor_RNA
RF00922,so-term,precursor_RNA
RF00925,so-term,precursor_RNA
RF00926,so-term,precursor_RNA
RF00927,so-term,precursor_RNA
RF00928,so-term,precursor_RNA
RF00929,so-term,precursor_RNA
RF00931,so-term,precursor_RNA
RF00932,so-term,precursor_RNA
RF00933,so-term,precursor_RNA
RF00934,so-term,precursor_RNA
RF00935,so-term,precursor_RNA
RF00936,so-term,precursor_RNA
RF00937,so-term,precursor_RNA
RF00939,so-term,precursor_RNA
RF00940,so-term,precursor_RNA
RF00941,so-term,precursor_RNA
RF00942,so-term,precursor_RNA
RF00943,so-term,precursor_RNA
RF00945,so-term,precursor_RNA
RF00946,so-term,precursor_RNA
RF00947,so-term,precursor_RNA
RF00948,so-term,precursor_RNA
RF00949,so-term,precursor_RNA
RF00950,so-term,precursor_RNA
RF00951,so-term,precursor_RNA
RF00952,so-term,precursor_RNA
RF00953,so-term,precursor_RNA
RF00954,so-term,precursor_RNA
